skill,freq
sap s/4hana,5
cad,5
cms wordpress,5
oracle 11g,5
dhcp,5
numpy,5
cisco,5
бренд-менеджмент,5
uml2.0,5
networking,5
1с erp,4
жкх,4
pentaho,4
страхование,4
adobe indesign,4
лидерство,4
учет тмц,4
организация совещаний,4
bitrix24,4
галактика,4
mercurial,4
машинное обучение,4
teradata,4
borland delphi,4
appmetrica,4
анализ трафика,4
продуктовый анализ,4
shelter,4
ucs,4
абонемент,4
pentest,4
поиск уязвимостей,4
описание бизнес-процесса,4
цфт-банк,4
торговля,4
cjm,4
product metrics,4
roistat,4
маркетинг,4
483-п,4
стратегический консалтинг,4
отчетность цб рф,4
digital-маркетинг,4
расчет и анализ себестоимости продукции и услуг,4
story mapping,4
xp,4
lean,4
кредитные карты,4
проведение промо акций,4
my sap erp,4
idm,4
sox,4
развитие ключевых клиентов,4
программы лояльности,4
управление лояльностью потребителей,4
power bi,4
бизнес-процессы,4
open layers,4
geoserver,4
статистика и теория вероятностей,4
а/б тесты,4
работа с клиентами,4
подготовка технических заданий,4
материальная ответственность,4
js,4
самостоятельность,4
mathematics,4
bi инструменты,4
подготовка коммерческих предложений,4
sales planning,4
диасофт,4
hybris,4
perl,4
работа в режиме многозадачности,4
diasoft,4
documentation,4
французский язык,4
работа с возражениями,4
wpf,4
ценовая политика,4
power pivot,4
sas ma,4
qlickview,4
sas rtdm,4
управление финансами,4
financial analysis,4
hr аналитика,4
антифрод,4
адаптивное планирование,4
анализ макроэкономической среды,4
разработка методологии бухгалтерского учета,4
big query,4
продажи через интернет,4
научные исследования,4
исполнительность,4
управление запасами,4
разработка требований к по,4
l2 vpn,4
iptables,4
ipsec,4
udp,4
ipv6,4
databases,4
reporting,4
бюджетирование закупок,4
customer development,4
ifrs,4
internet metrics,4
product analyst,4
обработка изображений,4
ms power builder,4
ad-hoc,4
производственная логистика,4
подбор производственного персонала,4
documentation skills,4
microstrategy,4
backqort,4
quik,4
язык программирования r,4
массивы данных,4
fashion retail,4
bi системы,4
переговоры с первыми лицами компаний,4
tasks tracking sytems,4
жилая недвижимость,4
er,4
presale,4
1с: управление холдингом,4
ведение клиентской базы,4
расчет затрат,4
корпоративные продажи,4
creatio (bpm’online),4
ibm datastage,4
сто бр иббс,4
современная розница,4
golang,4
разработка документации,4
mapreduce,4
postman,4
jsf,4
1с: управление закупками,4
поиск уязвимости,4
reverse engineering,4
rust,4
security research,4
radare2,4
poc,4
опыт работы с государственными заказчиками,4
openway way4,4
умение слушать и слышать,4
ibm mq,4
data warehouse,4
информационные системы,4
ms paint,4
разработка нормативных документов,4
powerbi,4
gbq,4
do-178c,4
консультант 1с,4
oracle hyperion,4
dlp,4
typescript,4
blockchain,4
data transfomrations,4
dashboards,4
web service,4
оперативный учет,4
навыки коммуникации,4
портфельный анализ,4
первичная бухгалтерская документация,4
orm,4
user stories,4
база данных: outlook,4
геоинформация,4
зондирование,4
геоинформатика,4
анализ бизнес-требований,4
финансы,4
oracle e-business suite,4
организационные навыки,4
airflow,4
pandas,4
ms dynamics ax,4
pyspark,4
продуктовая разработка,4
xgboost,4
systems intergation,4
ms expert,4
банковское по,4
микросервисная архитектура,4
1с зуп 8.3,4
брендинг,4
аналитик 1с,4
labview,4
валютное законодательство,4
artificial intelligence,3
tensorflow,3
вом,3
ecn,3
storage,3
автоматизация 1с,3
консультант 1с,3
odbs,3
cоциальная реклама,3
